bodyPart,equipment,name,target
chest,dumbbell,dumbbell one arm reverse grip press,pectorals
upper arms,dumbbell,dumbbell one arm reverse preacher curl,biceps
upper arms,dumbbell,dumbbell one arm reverse spider curl,biceps
upper arms,dumbbell,dumbbell one arm seated bicep curl on exercise ball,biceps
upper arms,dumbbell,dumbbell one arm seated hammer curl,biceps
lower arms,dumbbell,dumbbell one arm seated neutral wrist curl,forearms
shoulders,dumbbell,dumbbell one arm shoulder press,delts
shoulders,dumbbell,dumbbell one arm shoulder press v. 2,delts
upper legs,dumbbell,dumbbell one arm snatch,glutes
upper arms,dumbbell,dumbbell one arm standing curl,biceps
upper arms,dumbbell,dumbbell one arm standing hammer curl,biceps
upper arms,dumbbell,dumbbell one arm triceps extension (on bench),triceps
shoulders,dumbbell,dumbbell one arm upright row,delts
lower arms,dumbbell,dumbbell one arm wrist curl,forearms
upper arms,dumbbell,dumbbell one arm zottman preacher curl,biceps
chest,dumbbell,dumbbell one leg fly on exercise ball,pectorals
upper arms,dumbbell,dumbbell over bench neutral wrist curl,biceps
upper arms,dumbbell,dumbbell over bench one arm neutral wrist curl,biceps
lower arms,dumbbell,dumbbell over bench one arm reverse wrist curl,forearms
lower arms,dumbbell,dumbbell over bench one arm wrist curl,forearms
lower arms,dumbbell,dumbbell over bench revers wrist curl,forearms
lower arms,dumbbell,dumbbell over bench wrist curl,forearms
back,dumbbell,dumbbell palm rotational bent over row,upper back
upper arms,dumbbell,dumbbell palms in incline bench press,triceps
upper arms,dumbbell,dumbbell peacher hammer curl,biceps
upper legs,dumbbell,dumbbell plyo squat,glutes
upper arms,dumbbell,dumbbell preacher curl,biceps
upper arms,dumbbell,dumbbell preacher curl over exercise ball,biceps
chest,dumbbell,dumbbell press on exercise ball,pectorals
upper arms,dumbbell,dumbbell pronate-grip triceps extension,triceps
upper arms,dumbbell,dumbbell prone incline curl,biceps
upper arms,dumbbell,dumbbell prone incline hammer curl,biceps
chest,dumbbell,dumbbell pullover,pectorals
chest,dumbbell,dumbbell pullover hip extension on exercise ball,pectorals
chest,dumbbell,dumbbell pullover on exercise ball,pectorals
shoulders,dumbbell,dumbbell push press,delts
shoulders,dumbbell,dumbbell raise,delts
shoulders,dumbbell,dumbbell rear delt raise,delts
shoulders,dumbbell,dumbbell rear delt row_shoulder,delts
shoulders,dumbbell,dumbbell rear fly,delts
shoulders,dumbbell,dumbbell rear lateral raise,delts
shoulders,dumbbell,dumbbell rear lateral raise (support head),delts
upper legs,dumbbell,dumbbell rear lunge,glutes
upper arms,dumbbell,dumbbell revers grip biceps curl,biceps
chest,dumbbell,dumbbell reverse bench press,pectorals
shoulders,dumbbell,dumbbell reverse fly,delts
back,dumbbell,dumbbell reverse grip incline bench one arm row,upper back
back,dumbbell,dumbbell reverse grip incline bench two arm row,upper back
back,dumbbell,dumbbell reverse grip row (female),upper back
upper arms,dumbbell,dumbbell reverse preacher curl,biceps
upper arms,dumbbell,dumbbell reverse spider curl,biceps
lower arms,dumbbell,dumbbell reverse wrist curl,forearms
upper legs,dumbbell,dumbbell romanian deadlift,glutes
shoulders,dumbbell,dumbbell rotation reverse fly,delts
shoulders,dumbbell,dumbbell scott press,delts
shoulders,dumbbell,dumbbell seated alternate front raise,delts
upper arms,dumbbell,dumbbell seated alternate hammer curl on exercise ball,biceps
shoulders,dumbbell,dumbbell seated alternate press,delts
shoulders,dumbbell,dumbbell seated alternate shoulder,delts
upper arms,dumbbell,dumbbell seated bench extension,triceps
shoulders,dumbbell,dumbbell seated bent arm lateral raise,delts
upper arms,dumbbell,dumbbell seated bent over alternate kickback,triceps
upper arms,dumbbell,dumbbell seated bent over triceps extension,triceps
upper arms,dumbbell,dumbbell seated bicep curl,biceps
upper arms,dumbbell,dumbbell seated biceps curl (on stability ball),biceps
upper arms,dumbbell,dumbbell seated biceps curl to shoulder press,biceps
lower legs,dumbbell,dumbbell seated calf raise,calves
upper arms,dumbbell,dumbbell seated curl,biceps
shoulders,dumbbell,dumbbell seated front raise,delts
upper arms,dumbbell,dumbbell seated hammer curl,biceps
upper arms,dumbbell,dumbbell seated inner biceps curl,biceps
upper arms,dumbbell,dumbbell seated kickback,triceps
shoulders,dumbbell,dumbbell seated lateral raise,delts
shoulders,dumbbell,dumbbell seated lateral raise v. 2,delts
upper arms,dumbbell,dumbbell seated neutral wrist curl,biceps
upper arms,dumbbell,dumbbell seated one arm bicep curl on exercise ball with leg raised,biceps
upper arms,dumbbell,dumbbell seated one arm kickback,triceps
lower arms,dumbbell,dumbbell seated one arm rotate,forearms
lower legs,dumbbell,dumbbell seated one leg calf raise,calves
lower legs,dumbbell,dumbbell seated one leg calf raise - hammer grip,calves
lower legs,dumbbell,dumbbell seated one leg calf raise - palm up,calves
lower arms,dumbbell,dumbbell seated palms up wrist curl,forearms
upper arms,dumbbell,dumbbell seated preacher curl,biceps
upper arms,dumbbell,dumbbell seated revers grip concentration curl,biceps
upper arms,dumbbell,dumbbell seated reverse grip one arm overhead tricep extension,triceps
shoulders,dumbbell,dumbbell seated shoulder press,delts
shoulders,dumbbell,dumbbell seated shoulder press (parallel grip),delts
upper arms,dumbbell,dumbbell seated triceps extension,triceps
back,dumbbell,dumbbell shrug,traps
waist,dumbbell,dumbbell side bend,abs
shoulders,dumbbell,dumbbell side lying one hand raise,delts
back,dumbbell,dumbbell side plank with rear fly,upper back
shoulders,dumbbell,dumbbell single arm overhead carry,delts
lower legs,dumbbell,dumbbell single leg calf raise,calves
upper legs,dumbbell,dumbbell single leg deadlift,glutes
upper legs,dumbbell,dumbbell single leg deadlift with stepbox support,glutes
upper legs,dumbbell,dumbbell single leg split squat,quads
upper legs,dumbbell,dumbbell single leg squat,glutes
upper legs,dumbbell,dumbbell squat,glutes
upper arms,dumbbell,dumbbell standing alternate hammer curl and press,biceps
shoulders,dumbbell,dumbbell standing alternate overhead press,delts
shoulders,dumbbell,dumbbell standing alternate raise,delts
upper arms,dumbbell,dumbbell standing alternating tricep kickback,triceps
shoulders,dumbbell,dumbbell standing around world,delts
upper arms,dumbbell,dumbbell standing bent over one arm triceps extension,triceps
upper arms,dumbbell,dumbbell standing bent over two arm triceps extension,triceps
upper arms,dumbbell,dumbbell standing biceps curl,biceps
lower legs,dumbbell,dumbbell standing calf raise,calves
upper arms,dumbbell,dumbbell standing concentration curl,biceps
shoulders,dumbbell,dumbbell standing front raise above head,delts
upper arms,dumbbell,dumbbell standing inner biceps curl v. 2,biceps
upper arms,dumbbell,dumbbell standing kickback,triceps
upper arms,dumbbell,dumbbell standing one arm concentration curl,biceps
upper arms,dumbbell,dumbbell standing one arm curl (over incline bench),biceps
upper arms,dumbbell,dumbbell standing one arm curl over incline bench,biceps
upper arms,dumbbell,dumbbell standing one arm extension,triceps
shoulders,dumbbell,dumbbell standing one arm palm in press,delts
upper arms,dumbbell,dumbbell standing one arm reverse curl,biceps
shoulders,dumbbell,dumbbell standing overhead press,delts
shoulders,dumbbell,dumbbell standing palms in press,delts
upper arms,dumbbell,dumbbell standing preacher curl,biceps
upper arms,dumbbell,dumbbell standing reverse curl,biceps
upper arms,dumbbell,dumbbell standing triceps extension,triceps
upper arms,dumbbell,dumbbell standing zottman preacher curl,biceps
upper arms,dumbbell,dumbbell step up single leg balance with bicep curl,biceps
upper legs,dumbbell,dumbbell step-up,glutes
upper legs,dumbbell,dumbbell step-up lunge,quads
upper legs,dumbbell,dumbbell step-up split squat,quads
upper legs,dumbbell,dumbbell stiff leg deadlift,glutes
chest,dumbbell,dumbbell straight arm pullover,pectorals
upper legs,dumbbell,dumbbell straight leg deadlift,glutes
upper legs,dumbbell,dumbbell sumo pull through,glutes
upper legs,dumbbell,dumbbell supported squat,quads
upper arms,dumbbell,dumbbell tate press,triceps
upper arms,dumbbell,dumbbell tricep kickback with stork stance,triceps
upper arms,dumbbell,dumbbell twisting bench press,triceps
shoulders,dumbbell,dumbbell upright row,delts
shoulders,dumbbell,dumbbell upright row (back pov),delts
shoulders,dumbbell,dumbbell upright shoulder external rotation,delts
upper arms,dumbbell,dumbbell waiter biceps curl,biceps
shoulders,dumbbell,dumbbell w-press,delts
upper arms,dumbbell,dumbbell zottman curl,biceps
upper arms,dumbbell,dumbbell zottman preacher curl,biceps
upper arms,dumbbell,dumbbells seated triceps extension,triceps
chest,body weight,dynamic chest stretch (male),pectorals
upper arms,body weight,elbow dips,triceps
back,body weight,elbow lift - reverse push-up,upper back
waist,body weight,elbow-to-knee,abs
back,body weight,elevator,upper back
back,stability ball,exercise ball alternating arm ups,lats
back,stability ball,exercise ball back extension with arms extended,spine
back,stability ball,exercise ball back extension with hands behind head,spine
back,stability ball,exercise ball back extension with knees off ground,spine
back,stability ball,exercise ball back extension with rotation,spine
upper arms,stability ball,exercise ball dip,triceps
upper legs,stability ball,exercise ball hip flexor stretch,glutes
back,stability ball,exercise ball hug,spine
back,stability ball,exercise ball lat stretch,lats
back,stability ball,exercise ball lower back stretch (pyramid),lats
back,stability ball,exercise ball lying side lat stretch,lats
lower legs,dumbbell,exercise ball on the wall calf raise,calves
lower legs,dumbbell,exercise ball on the wall calf raise (tennis ball between ankles),calves
lower legs,dumbbell,exercise ball on the wall calf raise (tennis ball between knees),calves
upper legs,stability ball,exercise ball one leg prone lower body rotation,glutes
upper legs,stability ball,exercise ball one legged diagonal kick hamstring curl,glutes
chest,stability ball,exercise ball pike push up,pectorals
back,stability ball,exercise ball prone leg raise,spine
upper legs,stability ball,exercise ball seated hamstring stretch,hamstrings
upper arms,stability ball,exercise ball seated triceps stretch,triceps
upper arms,dumbbell,exercise ball supine triceps extension,triceps
upper arms,ez barbell,ez bar french press on exercise ball,triceps
back,ez barbell,ez bar lying bent arms pullover,lats
upper arms,ez barbell,ez bar lying close grip triceps extension behind head,triceps
back,ez barbell,ez bar reverse grip bent over row,upper back
upper arms,ez barbell,ez bar seated close grip concentration curl,biceps
upper arms,ez barbell,ez bar standing french press,triceps
shoulders,ez barbell,ez barbell anti gravity press,delts
upper arms,ez barbell,ez barbell close grip preacher curl,biceps
upper arms,ez barbell,ez barbell close-grip curl,biceps
upper arms,ez barbell,ez barbell curl,biceps
upper arms,ez barbell,ez barbell decline close grip face press,triceps
upper arms,ez barbell,ez barbell decline triceps extension,triceps
upper arms,ez barbell,ez barbell incline triceps extension,triceps
upper arms,ez barbell,ez barbell jm bench press,triceps
upper arms,ez barbell,ez barbell reverse grip curl,biceps
upper arms,ez barbell,ez barbell reverse grip preacher curl,biceps
upper arms,ez barbell,ez barbell seated curls,biceps
upper arms,ez barbell,ez barbell seated triceps extension,triceps
upper arms,ez barbell,ez barbell spider curl,biceps
upper arms,ez barbell,ez barbell spider curl,biceps
upper arms,ez barbell,ez-bar biceps curl (with arm blaster),biceps
upper arms,ez barbell,ez-bar close-grip bench press,triceps
upper arms,ez barbell,ez-barbell standing wide grip biceps curl,biceps
upper legs,dumbbell,farmers walk,quads
lower arms,barbell,finger curls,forearms
waist,body weight,flag,abs
waist,body weight,flexion leg sit up (bent knee),abs
waist,body weight,flexion leg sit up (straight arm),abs
chest,barbell,floor fly (with barbell),pectorals
upper legs,body weight,flutter kicks,glutes
upper legs,body weight,forward jump,quads
upper legs,body weight,forward lunge (male),glutes
upper legs,barbell,frankenstein squat,glutes
waist,body weight,frog crunch,abs
waist,body weight,frog planche,abs
waist,body weight,front lever,abs
back,body weight,front lever reps,upper back
waist,body weight,front plank with twist,abs
waist,body weight,full maltese,abs
waist,body weight,full planche,abs
chest,body weight,full planche push-up,pectorals
back,body weight,gironda sternum chin,lats
upper legs,body weight,glute bridge march,glutes
upper legs,body weight,glute bridge two legs on bench (male),glutes
upper legs,body weight,glute-ham raise,hamstrings
waist,body weight,gorilla chin,abs
waist,body weight,groin crunch,abs
lower legs,sled machine,hack calf raise,calves
lower legs,sled machine,hack one leg calf raise,calves
cardio,body weight,half knee bends (male),cardiovascular system
waist,body weight,half sit-up (male),abs
upper legs,body weight,hamstring stretch,hamstrings
chest,upper body ergometer,hands bike,pectorals
upper legs,body weight,hands clasped circular toe touch (male),glutes
upper legs,body weight,hands reversed clasped circular toe touch (male),glutes
upper arms,body weight,handstand,triceps
upper arms,body weight,handstand push-up,triceps
waist,body weight,hanging leg hip raise,abs
waist,body weight,hanging leg raise,abs
waist,body weight,hanging oblique knee raise,abs
waist,body weight,hanging pike,abs
waist,body weight,hanging straight leg hip raise,abs
waist,body weight,hanging straight leg raise,abs
waist,body weight,hanging straight twisting leg hip raise,abs
cardio,body weight,high knee against wall,cardiovascular system
waist,body weight,hip raise (bent knee),abs
upper legs,body weight,hug keens to chest,glutes
chest,dumbbell,hyght dumbbell fly,pectorals
back,body weight,hyperextension,spine
back,body weight,hyperextension (on bench),spine
upper arms,body weight,impossible dips,triceps
waist,body weight,inchworm,abs
waist,body weight,inchworm v. 2,abs
upper arms,body weight,incline close-grip push-up,triceps
waist,body weight,incline leg hip raise (leg straight),abs
chest,body weight,incline push up depth jump,pectorals
chest,body weight,incline push-up,pectorals
chest,body weight,incline push-up (on box),pectorals
chest,body weight,incline reverse grip push-up,pectorals
chest,body weight,incline scapula push up,serratus anterior
waist,body weight,incline twisting sit-up,abs
upper legs,rope,intermediate hip flexor and quad stretch,quads
upper legs,body weight,inverse leg curl (bench support),hamstrings
upper legs,body weight,inverse leg curl (on pull-up cable machine),hamstrings
back,body weight,inverted row,upper back
back,body weight,inverted row bent knees,upper back
back,body weight,inverted row on bench,upper back
back,body weight,inverted row v. 2,upper back
back,body weight,inverted row with straps,upper back
upper legs,body weight,iron cross stretch,glutes
chest,body weight,isometric chest squeeze,pectorals
chest,body weight,isometric wipers,pectorals
cardio,body weight,jack burpee,cardiovascular system
cardio,body weight,jack jump (male),cardiovascular system
waist,body weight,jackknife sit-up,abs
waist,body weight,janda sit-up,abs
cardio,rope,jump rope,cardiovascular system
upper legs,body weight,jump squat,glutes
upper legs,body weight,jump squat v. 2,glutes
waist,kettlebell,kettlebell advanced windmill,abs
lower arms,kettlebell,kettlebell alternating hang clean,forearms
shoulders,kettlebell,kettlebell alternating press,delts
chest,kettlebell,kettlebell alternating press on floor,pectorals
back,kettlebell,kettlebell alternating renegade row,upper back
back,kettlebell,kettlebell alternating row,upper back
shoulders,kettlebell,kettlebell arnold press,delts
waist,kettlebell,kettlebell bent press,abs
upper arms,kettlebell,kettlebell bottoms up clean from the hang position,biceps
upper arms,kettlebell,kettlebell double alternating hang clean,biceps
shoulders,kettlebell,kettlebell double jerk,delts
shoulders,kettlebell,kettlebell double push press,delts
shoulders,kettlebell,kettlebell double snatch,delts
waist,kettlebell,kettlebell double windmill,abs
chest,kettlebell,kettlebell extended range one arm press on floor,pectorals
waist,kettlebell,kettlebell figure 8,abs
upper legs,kettlebell,kettlebell front squat,glutes
upper legs,kettlebell,kettlebell goblet squat,glutes
upper legs,kettlebell,kettlebell hang clean,hamstrings
upper legs,kettlebell,kettlebell lunge pass through,glutes
shoulders,kettlebell,kettlebell one arm clean and jerk,delts
chest,kettlebell,kettlebell one arm floor press,pectorals
shoulders,kettlebell,kettlebell one arm jerk,delts
shoulders,kettlebell,kettlebell one arm military press to the side,delts
shoulders,kettlebell,kettlebell one arm push press,delts
back,kettlebell,kettlebell one arm row,upper back
shoulders,kettlebell,kettlebell one arm snatch,delts
shoulders,kettlebell,kettlebell pirate supper legs,delts
upper legs,kettlebell,kettlebell pistol squat,glutes
chest,kettlebell,kettlebell plyo push-up,pectorals
shoulders,kettlebell,kettlebell seated press,delts
shoulders,kettlebell,kettlebell seated two arm military press,delts
shoulders,kettlebell,kettlebell seesaw press,delts
back,kettlebell,kettlebell sumo high pull,traps
upper legs,kettlebell,kettlebell swing,glutes
shoulders,kettlebell,kettlebell thruster,delts
upper legs,kettlebell,kettlebell turkish get up (squat style),glutes
shoulders,kettlebell,kettlebell two arm clean,delts
shoulders,kettlebell,kettlebell two arm military press,delts
back,kettlebell,kettlebell two arm row,upper back
waist,kettlebell,kettlebell windmill,abs
upper legs,body weight,kick out sit,hamstrings
back,body weight,kipping muscle up,lats
waist,body weight,knee touch crunch,abs
upper legs,barbell,kneeling jump squat,glutes
back,body weight,kneeling lat stretch,lats
waist,body weight,kneeling plank tap shoulder (male),abs
chest,body weight,kneeling push-up (male),pectorals
chest,body weight,korean dips,pectorals
back,body weight,l-pull-up,lats
waist,body weight,l-sit on floor,abs
waist,barbell,landmine 180,abs
shoulders,barbell,landmine lateral raise,delts
waist,body weight,lean planche,abs
shoulders,body weight,left hook. boxing,delts
waist,body weight,leg pull in flat bench,abs
upper legs,body weight,leg up hamstring stretch,hamstrings
upper legs,leverage machine,lever alternate leg press,quads
back,leverage machine,lever alternating narrow grip seated row,upper back
back,leverage machine,lever assisted chin-up,lats
back,leverage machine,lever back extension,spine
back,barbell,lever bent over row,upper back
back,leverage machine,lever bent-over row with v-bar,upper back
upper arms,leverage machine,lever bicep curl,biceps
lower legs,leverage machine,lever calf press,calves
chest,leverage machine,lever chest press,pectorals
chest,leverage machine,lever chest press,pectorals
chest,leverage machine,lever chest press v. 2,pectorals
upper legs,leverage machine,lever deadlift,glutes
chest,leverage machine,lever decline chest press,pectorals
lower legs,leverage machine,lever donkey calf raise,calves
back,leverage machine,lever front pulldown,lats
back,leverage machine,lever gripless shrug,traps
back,leverage machine,lever gripless shrug v. 2,traps
lower arms,leverage machine,lever gripper hands,forearms
upper arms,leverage machine,lever hammer grip preacher curl,biceps
back,leverage machine,lever high row,upper back
upper legs,leverage machine,lever hip extension v. 2,glutes
upper legs,leverage machine,lever horizontal one leg press,glutes
chest,leverage machine,lever incline chest press,pectorals
chest,leverage machine,lever incline chest press v. 2,pectorals
upper legs,leverage machine,lever kneeling leg curl,hamstrings
waist,leverage machine,lever kneeling twist,abs
shoulders,leverage machine,lever lateral raise,delts
upper legs,leverage machine,lever leg extension,quads
upper legs,leverage machine,lever lying leg curl,hamstrings
upper legs,leverage machine,lever lying two-one leg curl,hamstrings
shoulders,leverage machine,lever military press,delts
back,leverage machine,lever narrow grip seated row,upper back
back,barbell,lever one arm bent over row,upper back
back,leverage machine,lever one arm lateral high row,upper back
back,leverage machine,lever one arm lateral wide pulldown,lats
shoulders,leverage machine,lever one arm shoulder press,delts
upper arms,leverage machine,lever overhand triceps dip,triceps
upper arms,leverage machine,lever preacher curl,biceps
upper arms,leverage machine,lever preacher curl v. 2,biceps
back,leverage machine,lever pullover,lats
back,leverage machine,lever reverse grip lateral pulldown,lats
upper arms,leverage machine,lever reverse grip preacher curl,biceps
back,leverage machine,lever reverse grip vertical row,upper back
upper legs,leverage machine,lever reverse hyperextension,glutes
back,leverage machine,lever reverse t-bar row,upper back
lower legs,leverage machine,lever rotary calf,calves
lower legs,leverage machine,lever seated calf press,calves
lower legs,leverage machine,lever seated calf raise,calves
waist,leverage machine,lever seated crunch,abs
waist,leverage machine,lever seated crunch (chest pad),abs
waist,leverage machine,lever seated crunch v. 2,abs
upper arms,leverage machine,lever seated dip,triceps
chest,leverage machine,lever seated fly,pectorals
upper legs,leverage machine,lever seated good morning,glutes
upper legs,leverage machine,lever seated hip abduction,abductors
upper legs,leverage machine,lever seated hip adduction,adductors
upper legs,leverage machine,lever seated leg curl,hamstrings
waist,leverage machine,lever seated leg raise crunch,abs
shoulders,leverage machine,lever seated reverse fly,delts
shoulders,leverage machine,lever seated reverse fly (parallel grip),delts
back,leverage machine,lever seated row,upper back
shoulders,leverage machine,lever seated shoulder press,delts
lower legs,leverage machine,lever seated squat calf raise on leg press machine,calves
waist,leverage machine,lever seated twist,abs
shoulders,leverage machine,lever shoulder press,delts
shoulders,leverage machine,lever shoulder press v. 2,delts
shoulders,leverage machine,lever shoulder press v. 3,delts
back,leverage machine,lever shrug,traps
lower legs,leverage machine,lever standing calf raise,calves
chest,leverage machine,lever standing chest press,pectorals
back,leverage machine,lever t bar row,upper back
back,leverage machine,lever t-bar reverse grip row,upper back
upper arms,leverage machine,lever triceps extension,triceps
back,leverage machine,lever unilateral row,upper back
back,rope,london bridge,upper back
upper legs,body weight,low glute bridge on floor,glutes
back,body weight,lower back curl,spine
upper legs,body weight,lunge with jump,glutes
waist,body weight,lunge with twist,abs
upper legs,body weight,lying (side) quads stretch,quads
waist,body weight,lying elbow to knee,abs
waist,body weight,lying leg raise flat bench,abs
waist,body weight,lying leg-hip raise,abs
chest,leverage machine,machine inner chest press,pectorals
upper legs,body weight,march sit (wall),glutes
back,medicine ball,medicine ball catch and overhead throw,lats
chest,medicine ball,medicine ball chest pass,pectorals
chest,medicine ball,medicine ball chest push from 3 point stance,pectorals
chest,medicine ball,medicine ball chest push multiple response,pectorals
chest,medicine ball,medicine ball chest push single response,pectorals
chest,medicine ball,medicine ball chest push with run release,pectorals
upper arms,medicine ball,medicine ball close grip push up,triceps
back,medicine ball,medicine ball overhead slam,upper back
upper arms,medicine ball,medicine ball supine chest throw,triceps
back,body weight,mixed grip chin-up,lats
chest,body weight,modified hindu push-up (male),pectorals
lower arms,body weight,modified push up to lower arms,forearms
upper legs,body weight,monster walk,glutes
cardio,body weight,mountain climber,cardiovascular system
back,body weight,muscle up,lats
back,body weight,muscle-up (on vertical bar),lats
upper arms,stability ball,narrow push-up on exercise ball,triceps
neck,body weight,neck side stretch,levator scapulae
waist,body weight,negative crunch,abs
waist,body weight,oblique crunch v. 2,abs
waist,body weight,oblique crunches floor,abs
upper arms,olympic barbell,olympic barbell hammer curl,biceps
upper arms,olympic barbell,olympic barbell triceps extension,triceps
back,body weight,one arm against wall,lats
back,body weight,one arm chin-up,lats
upper arms,body weight,one arm dip,triceps
waist,medicine ball,one arm slam (with medicine ball),abs
back,body weight,one arm towel row,upper back
lower legs,body weight,one leg donkey calf raise,calves
lower legs,body weight,one leg floor calf raise,calves
upper legs,body weight,one leg squat,glutes
waist,weighted,otis up,abs
upper legs,body weight,outside leg kick push-up,glutes
upper arms,body weight,overhead triceps stretch,triceps
waist,body weight,pelvic tilt,abs
upper legs,body weight,pelvic tilt into bridge,glutes
lower legs,rope,peroneals stretch,calves
upper legs,body weight,pike-to-cobra push-up,glutes
chest,body weight,plyo push up,pectorals
waist,body weight,posterior step to overhead reach,abs
lower legs,rope,posterior tibialis stretch,calves
waist,body weight,potty squat,abs
upper legs,body weight,potty squat with support,glutes
upper legs,barbell,power clean,hamstrings
waist,body weight,power point plank,abs
waist,body weight,prisoner half sit-up (male),abs
waist,stability ball,prone twist on stability ball,abs
back,body weight,pull up (neutral grip),lats
waist,stability ball,pull-in (on stability ball),abs
back,body weight,pull-up,lats
chest,body weight,push and pull bodyweight,pectorals
cardio,body weight,push to run,cardiovascular system
chest,bosu ball,push up on bosu ball,pectorals
chest,body weight,push-up,pectorals
chest,bosu ball,push-up (bosu ball),pectorals
chest,stability ball,push-up (on stability ball),pectorals
chest,stability ball,push-up (on stability ball),pectorals
chest,body weight,push-up (wall),pectorals
chest,body weight,push-up (wall) v. 2,pectorals
upper arms,dumbbell,push-up close-grip off dumbbell,triceps
upper legs,body weight,push-up inside leg kick,glutes
chest,medicine ball,push-up medicine ball,pectorals
upper arms,body weight,push-up on lower arms,triceps
chest,body weight,push-up plus,pectorals
waist,body weight,push-up to side plank,abs
upper legs,body weight,quads,quads
waist,body weight,quarter sit-up,abs
upper legs,body weight,quick feet v. 2,quads
chest,body weight,raise single arm push-up,pectorals
upper legs,body weight,rear decline bridge,glutes
shoulders,body weight,rear deltoid stretch,delts
back,body weight,rear pull-up,lats
upper legs,rope,reclining big toe pose with rope,hamstrings
upper legs,resistance band,resistance band hip thrusts on knees (female),glutes
upper legs,resistance band,resistance band leg extension,quads
upper arms,resistance band,resistance band seated biceps curl,biceps
chest,resistance band,resistance band seated chest press,pectorals
upper legs,resistance band,resistance band seated hip abduction,abductors
shoulders,resistance band,resistance band seated shoulder press,delts
back,resistance band,resistance band seated straight back row,upper back
waist,body weight,reverse crunch,abs
upper arms,body weight,reverse dip,triceps
back,leverage machine,reverse grip machine lat pulldown,lats
back,body weight,reverse grip pull-up,lats
upper legs,stability ball,reverse hyper extension (on stability ball),glutes
upper legs,body weight,reverse hyper on flat bench,glutes
waist,body weight,reverse plank with leg lift,abs
upper arms,body weight,ring dips,triceps
upper legs,body weight,rocking frog stretch,glutes
back,body weight,rocky pull-up pulldown,lats
back,roller,roller back stretch,spine
waist,roller,roller body saw,abs
upper legs,roller,roller hip lat stretch,glutes
upper legs,roller,roller hip stretch,glutes
waist,roller,roller reverse crunch,abs
chest,roller,roller seated shoulder flexor depresor retractor,pectorals
chest,roller,roller seated single leg shoulder flexor depresor retractor,pectorals
back,roller,roller side lat stretch,lats
back,rope,rope climb,upper back
cardio,body weight,run,cardiovascular system
cardio,body weight,run (equipment),cardiovascular system
upper legs,body weight,runners stretch,hamstrings
waist,body weight,russian twist,abs
back,body weight,scapula dips,traps
chest,body weight,scapula push-up,serratus anterior
back,body weight,scapular pull-up,traps
cardio,body weight,scissor jumps (male),cardiovascular system
lower legs,body weight,seated calf stretch (male),calves
upper legs,body weight,seated glute stretch,glutes
waist,body weight,seated leg raise,abs
back,body weight,seated lower back stretch,lats
upper legs,body weight,seated piriformis stretch,glutes
waist,body weight,seated side crunch (wall),abs
upper legs,body weight,seated wide angle pose sequence,hamstrings
upper legs,body weight,self assisted inverse leg curl,hamstrings
upper legs,body weight,self assisted inverse leg curl,hamstrings
upper legs,body weight,self assisted inverse leg curl (on floor),hamstrings
cardio,body weight,semi squat jump (male),cardiovascular system
cardio,body weight,short stride run,cardiovascular system
back,body weight,shoulder grip pull-up,lats
waist,body weight,shoulder tap,abs
chest,body weight,shoulder tap push-up,pectorals
upper legs,body weight,side bridge hip abduction,abductors
waist,body weight,side bridge v. 2,abs
waist,body weight,side hip (on parallel bars),abs
upper legs,body weight,side hip abduction,abductors
back,body weight,side lying floor stretch,lats
upper legs,body weight,side lying hip adduction (male),adductors
upper legs,body weight,side plank hip adduction,adductors
neck,body weight,side push neck stretch,levator scapulae
upper arms,body weight,side push-up,triceps
lower arms,body weight,side wrist pull stretch,forearms
back,body weight,side-to-side chin,lats
waist,body weight,side-to-side toe touch (male),abs
chest,body weight,single arm push-up,pectorals
upper legs,body weight,single leg bridge with outstretched leg,glutes
lower legs,dumbbell,single leg calf raise (on a dumbbell),calves
upper legs,body weight,single leg platform slide,hamstrings
upper legs,body weight,single leg squat (pistol) male,glutes
upper legs,body weight,sissy squat,quads
waist,body weight,sit-up v. 2,abs
waist,body weight,sit-up with arms on chest,abs
cardio,body weight,skater hops,cardiovascular system
upper arms,skierg machine,ski ergometer,triceps
cardio,body weight,ski step,cardiovascular system
back,body weight,skin the cat,upper back
upper legs,sled machine,sled 45 degrees one leg press,glutes
lower legs,sled machine,sled 45Ð²Â° calf press,calves
upper legs,sled machine,sled 45Ð²Â° leg press,glutes
upper legs,sled machine,sled 45Ð²Â° leg press (back pov),glutes
upper legs,sled machine,sled 45Ð²Â° leg press (side pov),glutes
upper legs,sled machine,sled 45Ð²Â° leg wide press,glutes
lower legs,sled machine,sled calf press on leg press,calves
upper legs,sled machine,sled closer hack squat,glutes
lower legs,sled machine,sled forward angled calf raise,calves
upper legs,sled machine,sled hack squat,glutes
lower legs,sled machine,sled lying calf press,calves
upper legs,sled machine,sled lying squat,glutes
lower legs,sled machine,sled one leg calf press on leg press,calves
waist,hammer,sledge hammer,abs
back,smith machine,smith back shrug,traps
shoulders,smith machine,smith behind neck press,delts
chest,smith machine,smith bench press,pectorals
upper legs,smith machine,smith bent knee good morning,glutes
back,smith machine,smith bent over row,upper back
upper legs,smith machine,smith chair squat,quads
upper arms,smith machine,smith close-grip bench press,triceps
upper legs,smith machine,smith deadlift,glutes
chest,smith machine,smith decline bench press,pectorals
chest,smith machine,smith decline reverse-grip press,pectorals
